phase,focus,key_setting,strict_feasible,strict_feasible_profile_count,best_profile,notes
phase25a,policy_surface,activity_x_cap + quantile sensitivity,True,16,mixed_by_region,Showed brittle region at min_step=0.02 for low caps
phase25b,promoted_variants_initial,cap0.001 step0.02,False,0,,All promoted variants failed capped strict
phase25c,pathboost_variants,cap0.001 step0.02,False,0,,Improved path metrics but still infeasible at cap0.001
phase25c_grid,policy_only_sweep,cap-grid x min_step-grid,True,10,v25c_tailhard_01,Showed feasibility returns at caps >=0.003
phase25d,microtune_tailhard01,cap0.002 step0.02,True,1,v25d_tune_a,First feasibility at cap0.002
phase25e,ultrafine_tune_a,cap0.001 step0.02,True,1,v25e_looser_01,Breakthrough feasibility at cap0.001
phase25f,confirmatory_stress,alt bootstrap seed/block,True,5,v25e_looser_01,decision=PASS; min_path_slack=0.0
phase25g,guardband_audit,fixed floor decision split,False,0,,Mean guardband pass but case-floor fail remained
phase25i,deep_repair,local neighborhood around winner,False,0,,Reduced shortfall but no strict all-case-floor pass
phase25j,targeted_tail_repair,b12/b16 tail-focused with sentinels,False,0,,Further tail improvement but still strict fail
phase25k,highcost_tail_repair,high-cost b12/b16 concentration,True,1,v25k_n8,First full 7-scenario strict all-case-floor pass
phase25l,confirmatory_stress_v25k,extended bootstrap seed/block,True,9,v25k_n8,decision=PASS; breach_count=0; min_case_slack=0.0005323244
phase25m,tail_seedexp_compare,expanded seeds on tail/high-cost cases,True,1,v25k_n8,v25k_n8 PASS with breach_count=0 while v25k_ref has 36 breaches
phase25n,margin_boost_search,microsearch around v25k_n8,True,3,v25n_a,Feasible tie cluster; improvement vs v25k_n8 is numerically negligible
phase25o,randomized_envelope_compare,random short-block stress envelope,False,0,,Single-row breach persists for v25k_n8/v25n_a in rand_b13_p6575 c25 seed5
phase25p,envelope_targeted_repair,targeted fix on random-envelope weak window,False,0,,Best candidate reduced shortfall but still one breach
phase25q,aggressive_envelope_repair,strong hardening around repair winner,False,0,,Aggressive settings worsened breach counts and sometimes non-path activity
phase25r,dual_envelope_plus_pack_audit,train-holdout random envelope plus 3-pack audit,False,0,,Residual random-envelope breaches persist (~2.8% tail breach rate)
phase25s,breach_stability_audit,reps/jitter audit on known weak windows,False,0,,At 300 reps breaches persist; at 1200 reps targeted windows show zero breaches
phase25t,reps_generalization_probe,reps sensitivity on random train+holdout envelopes,True,2,v25t_pA,At reps>=1200 both v25t_pA and v25t_n8 show zero breaches in probe set
phase25u,min_safe_reps_sweep,reps sweep with runtime tradeoff,True,2,v25u_pA,Minimum safe reps in sweep is 600 with zero train/holdout breaches
phase25v,min_safe_reps_confirmation,expanded random envelope confirmation,True,2,v25v_n8,Replicated zero breaches at reps=600 on broader scenario/row set
phase25w,governance_lock_suite,final mixed-suite lock at reps600/900,True,2,v25w_pA,Final governance suite PASS with zero curated/train/holdout breaches at reps=600
phase25x,expanded_lock_audit,deeper curated+random envelope at reps600,True,2,v25x_pA,Expanded audit PASS with zero curated/train/holdout breaches; worst-case slack=0.0001080376
phase25y,tripack_replication,3-pack expanded audit replication at reps600,True,1,v25y_pA,Tripack replication PASS with 3/3 pack passes; min pack slack=0.0001080376
phase25z,margin_lift_local_search,local perturbation search plus full ref compare at reps600,True,2,v25z_ridge_hi,Feasible local winner found but delta vs reference is numerically negligible; keep v25y_pA
